circuit_id,migrated_at
MGSI000882,2024-01-29
MGSI000759,2024-01-29
MGSI000743,2024-01-29
MGSI000760,2024-01-29
MGSI000949,2024-01-29
MGSI001204,2024-01-29
MGSI000761,2024-01-29
MGSI000860,2024-01-29
MGSI000962,2024-01-29
MGSI001155,2024-01-29
MGSI000727,2024-01-29
MGSI000828,2024-01-29
MGSI001106,2024-01-29
MGSI001107,2024-01-29
MGSI001153,2024-01-29
MGSI000737,2024-01-29
MGSI001125,2024-01-29
MGSI000805,2024-01-29
MGSI001314,2024-01-29
MGSI001205,2024-01-29
MGSI001329,2024-01-29
MGSI001306,2024-01-29
MGSI001019,2024-01-29
MGSI001029,2024-01-29
MGSI001337,2024-01-29
MGSI001016,2024-01-29
MGSI000918,2024-01-29
MGSI000762,2024-01-29
MGSI001207,2024-01-29
MGSI001208,2024-01-29
MGSI001317,2024-01-29
MGSI000870,2024-01-29
MGSI000871,2024-01-29
MGSI001210,2024-01-29
MGSI001073,2024-01-29
MGSI000885,2024-01-29
MGSI000728,2024-01-29
MGSI000764,2024-01-29
MGSI001211,2024-01-29
MGSI000951,2024-01-29
MGSI001151,2024-01-29
MGSI001629,2024-01-29
MGSI000937,2024-01-29
MGSI000731,2024-01-29
MGSI000959,2024-01-29
MGSI001041,2024-01-29
MGSI000916,2024-01-29
MGSI000917,2024-01-29
MGSI000988,2024-01-29
MGSI001083,2024-01-29
MGSI001152,2024-01-29
MGSI000809,2024-01-29
MGSI001032,2024-01-29
MGSI001333,2024-01-29
MGSI001388,2024-01-29
MGSI001318,2024-01-29
MGSI001033,2024-01-29
MGSI000838,2024-01-29
MGSI001160,2024-01-29
MGSI001161,2024-01-29
MGSI001157,2024-01-30
MGSI001158,2024-01-29
MGSI001058,2024-01-29
MGSI001221,2024-01-29
MGSI001222,2024-01-29
MGSI001223,2024-01-29
MGSI001224,2024-01-29
MGSI001226,2024-01-29
MGSI001228,2024-01-29
MGSI000964,2024-01-29
MGSI000792,2024-01-29
MGSI000791,2024-01-29
MGSI001290,2024-01-29
MGSI000800,2024-01-29
MGSI000798,2024-01-29
MGSI000797,2024-01-29
MGSI000796,2024-01-29
MGSI000795,2024-01-29
MGSI000794,2024-01-29
MGSI000875,2024-01-29
MGSI000986,2024-01-29
MGSI000816,2024-01-29
MGSI000945,2024-01-29
MGSI001131,2024-01-29
MGSI000880,2024-01-29
MGSI001087,2024-01-29
MGSI000765,2024-01-29
MGSI001129,2024-01-29
MGSI001293,2024-01-29
MGSI000978,2024-01-29
MGSI001402,2024-01-29
MGSI000775,2024-01-29
MGSI001020,2024-01-29
MGSI001239,2024-01-29
MGSI001121,2024-01-29
MGSI001316,2024-01-29
MGSI001034,2024-01-29
MGSI001408,2024-01-29
MGSI000936,2024-01-29
MGSI000852,2024-01-29
MGSI001006,2024-01-29
MGSI000997,2024-01-29
MGSI000747,2024-01-29
MGSI000748,2024-01-29
MGSI000807,2024-01-29
MGSI000786,2024-01-29
MGSI000824,2024-01-29
MGSI000892,2024-01-29
MGSI000834,2024-01-29
MGSI000732,2024-01-29
MGSI000733,2024-01-29
MGSI000735,2024-01-29
MGSI000770,2024-01-29
MGSI000886,2024-01-29
MGSI000887,2024-01-29
MGSI000904,2024-01-29
MGSI001245,2024-01-29
MGSI000958,2024-01-29
MGSI000823,2024-01-29
MGSI000938,2024-01-29
MGSI001101,2024-01-29
MGSI001123,2024-01-29
MGSI000883,2024-01-29
MGSI000939,2024-01-29
MGSI000841,2024-01-29
MGSI000821,2024-01-29
MGSI000822,2024-01-29
MGSI000954,2024-01-29
MGSI001606,2024-01-29
MGSI000890,2024-01-29
MGSI000942,2024-01-29
MGSI001624,2024-01-29
MGSI001626,2024-01-29
MGSI001250,2024-01-29
MGSI001251,2024-01-29
MGSI001008,2024-01-29
MGSI001108,2024-01-29
MGSI001630,2024-01-29
MGSI001319,2024-01-29
MGSI000740,2024-01-29
MGSI001060,2024-01-29
MGSI001324,2024-01-29
MGSI000853,2024-01-29
MGSI000736,2024-01-29
MGSI000811,2024-01-29
MGSI001252,2024-01-29
MGSI000911,2024-01-29
MGSI001321,2024-01-29
MGSI000977,2024-01-29
MGSI000969,2024-01-29
MGSI000924,2024-01-29
MGSI000922,2024-01-29
MGSI001609,2024-01-29
MGSI000991,2024-01-29
MGSI001310,2024-01-29
MGSI000926,2024-01-29
MGSI001283,2024-01-29
MGSI001075,2024-01-29
MGSI000769,2024-01-29
MGSI001621,2024-01-29
MGSI000790,2024-01-29
MGSI001628,2024-01-29
MGSI001022,2024-01-29
MGSI001049,2024-01-29
MGSI001311,2024-01-29
MGSI001291,2024-01-29
